mon,app,amt,acct,typ,num,vendor
Apr,Salesforce - Slack Enterprise,20000.0,55000,Journal Entry,prepaid04.26,SLACK
Apr,Codio,14893.37,55000,Journal Entry,prepaid04.26,CODIO INC.
Apr,Google Workspace,7563.88,96100,Expense,,GOOGLE *WORKSPACE_COCC@GOOGLE.COM CA
Apr,Salesforce - Certification Exams,6018.75,55000,Journal Entry,prepaid04.26,"SALESFORCE, INC."
Apr,Worksuite,3937.5,96100,Journal Entry,prepaid04.26,WORKSUITE INC.
Apr,Calendly,3919.5,55000,Journal Entry,prepaid04.26,CALENDLY LLC
Apr,Maxio (formerly SaaSOptics),3629.17,96100,Journal Entry,prepaid04.26,MAXIO
Apr,Zoom,3330.56,96100,Expense,,ZOOM.COM 888-799-966SAN JOSE CA
Apr,Profound,3000.0,81000,Journal Entry,prepaid04.26,PROFOUND
Apr,Pumble,2721.88,96100,Journal Entry,prepaid04.26,PUMBLE
Apr,Okta,2608.6,55000,Journal Entry,prepaid04.26,OKTA INC
Apr,CompTIA,2578.58,55000,Journal Entry,prepaid04.26,"COMPTIA, INC. - 9122"
Apr,CompTIA,2578.58,55000,Journal Entry,prepaid04.26,"COMPTIA, INC. - 9122"
Apr,Claude,2422.47,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Apr,1Password,2421.45,96100,Journal Entry,prepaid04.26,AGILEBITS INC. DBA 1PASSWORD
Apr,HubSpot,2396.54,96100,Journal Entry,prepaid04.26,HUBSPOT INC
Apr,SurveyMonkey,2156.25,55000,Journal Entry,prepaid04.26,SURVEYMONKEY INC
Apr,CompTIA,2018.75,55000,Journal Entry,prepaid04.26,COMPTIA MRKETPLCE 800-511-3478 MN COMPTIA MRKETPLCE 800-511-3478 MN
Apr,CompTIA,2018.75,55000,Journal Entry,prepaid04.26,COMPTIA MRKETPLCE 800-511-3478 MN COMPTIA MRKETPLCE 800-511-3478 MN
Apr,CompTIA,2018.75,55000,Journal Entry,prepaid04.26,COMPTIA MRKETPLCE 800-511-3478 MN COMPTIA MRKETPLCE 800-511-3478 MN
Apr,Airtable,2012.64,96100,Expense,,AIRTABLE.COM/BILL SAN FRANCISCO CA
Apr,Pearson VUE (Exam Vouchers),1884.17,55000,Journal Entry,prepaid04.26,VUE*COMPTIA MRKETPLCE - 8247 VUE*COMPTIA MRKETPLCE - 8247
Apr,Pearson VUE (Exam Vouchers),1884.17,55000,Journal Entry,prepaid04.26,VUE*COMPTIA MRKETPLCE - 8247 VUE*COMPTIA MRKETPLCE - 8247
Apr,Pearson VUE (Exam Vouchers),1884.17,55000,Journal Entry,prepaid04.26,VUE*COMPTIA MRKETPLCE - 8247 VUE*COMPTIA MRKETPLCE - 8247
Apr,Pearson VUE (Exam Vouchers),1884.17,55000,Journal Entry,prepaid04.26,VUE*COMPTIA MRKETPLCE - 8247 VUE*COMPTIA MRKETPLCE - 8247
Apr,Zendesk,1840.72,96100,Journal Entry,prepaid04.26,ZENDESK - US SAN FRANCISCO CA
Apr,Sentry,1799.29,96100,Expense,,SENTRY SAN FRANCISCO CA
Apr,Salesforce - Slack Internal,1529.01,55000,Journal Entry,prepaid04.26,"SALESFORCE, INC. SLACK BUSINESS PLUS"
Apr,Mailchimp,1469.81,55000,Journal Entry,prepaid04.26,MAILCHIMP LLC ATLANTA GA
Apr,Greenhouse,1421.78,96100,Journal Entry,prepaid04.26,"GREENHOUSE SOFTWARE, INC."
Apr,Pearson VUE (Exam Vouchers),1382.33,55000,Journal Entry,prepaid04.26,VUE*COMPTIA MRKETPLCE - 9122
Apr,Outreach,1367.33,81000,Journal Entry,prepaid04.26,BLS*OUTREACH CORPORASEATTLE WA
Apr,Accredible,1306.67,55000,Journal Entry,prepaid04.26,ACCREDIBLE - 8247 ACCREDIBLE - 8247
Apr,ApprentiScope,1300.86,96100,Expense,,APPRENTISCOPE - 9122
Apr,CompTIA,1222.83,55000,Journal Entry,prepaid04.26,"COMPTIA, INC. - 9122"
Apr,Google Workspace,1214.08,96100,Expense,,GOOGLE*SVCSCORRELATICC GOOGLE.COM
Apr,Carta,1043.39,96100,Journal Entry,prepaid04.26,CARTA (ESHARES) SAN FRANCISCO CA
Apr,MindHub,1026.09,55000,Journal Entry,prepaid04.26,WL *NCS*MINDHUB.COM - 9122
Apr,Notion,993.28,96100,Journal Entry,prepaid04.26,"NOTION LABS, INC. SAN FRANCISCO CA"
Apr,LinkedIn,974.01,81000,Journal Entry,prepaid04.26,LINKEDINXXXXXXXXXXXX - 9122
Apr,Atlassian,892.08,96100,Expense,,ATLASSIAN SAN FRANCISCO CA
Apr,ChatGPT,877.24,96100,Expense,,OPENAI *CHATGPT SUBSSAN FRANCISCO CA
Apr,Salesforce - Tableau Cloud,827.45,96100,Journal Entry,prepaid04.26,TABLEAU CLOUD
Apr,Pearson VUE (Exam Vouchers),816.5,55000,Journal Entry,prepaid04.26,VUE*COMPTIA MRKETPLCE - 9122
Apr,BambooHR,781.8,96100,Journal Entry,prepaid04.26,BAMBOOHR HRIS 866-387-9595 UT
Apr,Claude,762.13,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Loom,720.0,96100,Expense,,LOOM SUBSCRIPTION AUSTIN TX
Apr,GitHub,695.07,96100,Expense,,"GITHUB, INC. SAN FRANCISCO CA"
Apr,Figma,666.32,96100,Expense,,FIGMA SAN FRANCISCO CA
Apr,Culture Amp,642.23,96100,Journal Entry,prepaid04.26,CULTURE AMP INC
Apr,Workforce,600.0,96100,Expense,,WORKFORCE CLOUD TECHNEWARK DE
Apr,CompTIA,586.0,55000,Journal Entry,prepaid04.26,"COMPTIA, INC. - 9122"
Apr,Zendesk,-555.92,96100,Journal Entry,prepaid04.26,ZENDESK - US SAN FRANCISCO CA
Apr,CompTIA,531.67,55000,Journal Entry,prepaid04.26,"COMPTIA, INC. - 9122"
Apr,Adobe,530.33,96100,Expense,,ADOBE ADOBE INC - 9122
Apr,Librato,491.3,96100,Expense,,LIBRATO BY SOLARWINDAUSTIN TX
Apr,Adobe,484.92,96100,Expense,,ADOBE ADOBE SYSTEMS SAN JOSE CA
Apr,Yesware,440.94,96100,Journal Entry,prepaid04.26,YESWARE SERVICE 855-937-9273 MA
Apr,Zendesk,405.49,96100,Expense,,ZENDESK - US SAN FRANCISCO CA
Apr,Zendesk,390.69,96100,Expense,,ZENDESK - US SAN FRANCISCO CA
Apr,LaunchDarkly,381.06,96100,Expense,,LAUNCHDARKLY SEAT PAOAKLAND CA
Apr,Figma,346.46,96100,Expense,,FIGMA SAN FRANCISCO CA
Apr,Worksuite,328.13,96100,Journal Entry,prepaid04.26,WORKSUITE INC.
Apr,DocuSign,326.63,96100,Expense,,DOCUSIGN SEATTLE WA
Apr,Microsoft,323.92,96100,Expense,,A1010BUSD01 MSBILL.INFO
Apr,Pearson VUE (Exam Vouchers),319.0,55000,Journal Entry,prepaid04.26,VUE*COMPTIA MRKETPLCE - 9122
Apr,CompTIA,265.83,55000,Journal Entry,prepaid04.26,"COMPTIA, INC. - 9122"
Apr,Pearson VUE (Exam Vouchers),258.33,55000,Journal Entry,prepaid04.26,VUE*PEARSON VUE STORE - 9122
Apr,Microsoft,240.1,96100,Expense,,MICROSOFT MSBILL.INFO
Apr,Airtable,235.17,96100,Expense,,AIRTABLE.COM/BILL SAN FRANCISCO CA
Apr,Refiner,219.0,96100,Journal Entry,prepaid04.26,REFINER.IO PARIS
Apr,Claude,217.75,96100,Expense,,CLAUDE.AI SUBSCRIPTISAN FRANCISCO CA
Apr,Cursor,217.75,96100,Expense,,"CURSOR, AI POWERED ISAN FRANCISCO NY"
Apr,CompTIA,212.67,55000,Journal Entry,prepaid04.26,"COMPTIA, INC. - 9122"
Apr,Lovable,211.21,96100,Expense,,LOVABLE DOVER DE
Apr,DeepSource,210.0,96100,Expense,,DEEPSOURCE SAN FRANCISCO CA
Apr,Artillery,199.0,96100,Expense,,ARTILLERY.IO NEW YORK NY
Apr,Salesforce - Sales Cloud Enterprise,195.5,81000,Journal Entry,prepaid04.26,SALES CLOUD ENTERPRISE
Apr,Twilio,180.88,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Apr,Lovable,169.03,96100,Expense,,LOVABLE DOVER DE
Apr,Pearson VUE (Exam Vouchers),159.75,55000,Journal Entry,prepaid04.26,VUE*COMPTIA MRKETPLCE - 9122
Apr,LinkedIn Sales Navigator,151.52,81000,Journal Entry,prepaid04.26,SALES NAVIGATOR
Apr,Twilio,148.28,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Apr,Gamma,142.78,96100,Expense,,GAMMA.APP SAN FRANCISCO CA
Apr,Gamma,138.73,96100,Expense,,GAMMA.APP SAN FRANCISCO CA
Apr,CoderPad,130.65,96100,Expense,,CODERPAD INTERVIEWINSAN FRANCISCO CA
Apr,Lovable,130.65,96100,Expense,,LOVABLE DOVER DE
Apr,Twilio,125.71,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Apr,Twilio,125.46,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Apr,QuickBooks,125.21,96100,Expense,,QUICKBOOKS PAYMENTS INTUIT *QBOOKS ONLINE - 9122
Apr,Salesforce - Tableau Cloud,123.03,96100,Journal Entry,prepaid04.26,TABLEAU CLOUD
Apr,Microsoft,119.08,96100,Expense,,MICROSOFT MSBILL.INFO
Apr,Twilio,117.37,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Apr,Twilio,115.85,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Apr,Twilio,115.04,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Apr,Salesforce - Tableau Cloud,110.74,96100,Journal Entry,prepaid04.26,TABLEAU CLOUD
Apr,Geocode,100.0,96100,Expense,,GEOCODE.EARTH NEW YORK NY
Apr,Twilio,99.87,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Apr,Twilio,98.24,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Apr,Twilio,98.12,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Apr,Twilio,93.14,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Apr,Twilio,92.94,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Apr,Twilio,92.72,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Apr,Twilio,92.61,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Apr,Twilio,91.83,96100,Expense,,TWILIO INC SAN FRANCISCO CA
